Project ,Date,Year,Plot,Observers,Plot_area,Units_dist,Units_dbh,Area,Tree_id,Species,Azimuth,Distance,DBH,BA,Height,CBH,CR,Decay_Class,Char_Height,Scorch_Height,Beetle,Cone,Shrub,Notes,Entry_date,Entered_by
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P16,PIPO,233,35,22.1,,61,14.4,,L,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P17,PIPO,280,22.5,9.4,,29,na,,D2,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P18,PIPO,293,35,10.1,,32,15.2,,M,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P19,PIPO,295,13,10.4,,36.9,na,,D2,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P20,PIPO,298,29,9.2,,32.2,31,,D2,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P21,PIPO,341,9,8.5,,37,34,,M,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P22,PIPO,348,19.5,9.3,,35.5,na,,D2,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,4,"EM,CM,CC",0.1,ft,in,Plantation,P23,PIPO,351,30,9.5,,32,33,,M,na ,na ,G,M,0,,20230707,EM
Lone Pine ,20230613,2023,5,"EM,CM,CC",0.1,ft,in,Plantation,908,PIPO,28.2,14.5,5.8,,27,5,,L,na ,na ,G,M,0,,20230707,CC
Lone Pine ,20230613,2023,5,"EM,CM,CC",0.1,ft,in,Plantation,P2,PIPO,35.7,14.5,5.5,,28.5,9.2,,L,na ,na ,G,M,0,,20230707,CC
Lone Pine ,20230613,2023,5,"EM,CM,CC",0.1,ft,in,Plantation,A1,POTR5,39.3,24,4.5,,22.1,6.5,,L,na ,na ,G,N,1,,20230707,CC
Lone Pine ,20230613,2023,5,"EM,CM,CC",0.1,ft,in,Plantation,P3,PIPO,44.4,25,19.2,,66.3,20.2,,L,na ,na ,G,D,1,,20230707,CC
Lone Pine ,20230613,2023,5,"EM,CM,CC",0.1,ft,in,Plantation,P4,PIPO,56.7,13.5,6,,27.3,6,,L,na ,na ,G,M,0,,20230707,CC
Lone Pine ,20230613,2023,5,"EM,CM,CC",0.1,ft,in,Plantation,P5,PIPO,76.6,20,7.1,,27.1,11.4,,L,na ,na ,G,M,0,,20230707,CC
