ObjectID,Project,Phase,Treatments,Monitoring,Block,Unit,Plot,BEST_Treat,Species,Decay_Class,Tree Damage Code,Damage Agent,Beetle,Cone Production,Shrubs under trees,Diameter_Units,DBH,DBH_cm,Height_Units,Height,CBH,CR,Max Crown Scorch Ht,Max Stem Char Ht,Notes,CreationDate,EditDate
961,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,None,cm,14.56692913,37,ft,40.3,7.6,81.14143921,,,,7/30/2020 21:20,7/30/2020 21:20
964,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,>half,cm,15.70866142,39.9,ft,29,14.2,51.03448276,,,,7/30/2020 21:20,7/30/2020 21:20
956,LonePine,Pre,Control,Yes,Best,,30,NA,PIPO,L,,,G,None,>half,cm,19.56692913,49.7,ft,57.9,11.9,79.44732297,,,,7/30/2020 21:20,7/30/2020 21:20
973,LonePine,Pre,Control,No,Best,,31,NA,PIPO,L,,,G,None,<half,cm,8.779527559,22.3,ft,50,10.2,79.6,,,,7/30/2020 21:20,7/30/2020 21:20
985,LonePine,Pre,Control,No,Best,,31,NA,PIPO,L,,,G,None,<half,cm,8.779527559,22.3,ft,50,10.2,79.6,,,,7/30/2020 21:20,7/30/2020 21:20
984,LonePine,Pre,Control,No,Best,,31,NA,PIPO,L,,,G,None,>half,cm,11.57480315,29.4,ft,33.2,28.6,13.85542169,,,,7/30/2020 21:20,7/30/2020 21:20
996,LonePine,Pre,Control,No,Best,,31,NA,PIPO,L,,,G,None,>half,cm,11.57480315,29.4,ft,33.2,28.6,13.85542169,,,,7/30/2020 21:20,7/30/2020 21:20
981,LonePine,Pre,Control,No,Best,,31,NA,PIPO,L,I,BB,G,None,>half,cm,12.04724409,30.6,ft,60.7,,,,,,7/30/2020 21:20,7/30/2020 21:20
993,LonePine,Pre,Control,No,Best,,31,NA,PIPO,L,I,BB,G,None,>half,cm,12.04724409,30.6,ft,60.7,,,,,,7/30/2020 21:20,7/30/2020 21:20
982,LonePine,Pre,Control,No,Best,,31,NA,PIPO,M,I,BB,G,None,>half,cm,12.83464567,32.6,ft,46.2,8.6,81.38528139,,,,7/30/2020 21:20,7/30/2020 21:20
